,Total_Images,ConvNeXt,EfficientNet,ViT
Mask,746,0.0,0.2680965147453083,0.5361930294906166
Print,515,1.1650485436893203,1.1650485436893203,2.524271844660194
Replay,463,0.21598272138228944,0.6479481641468683,1.2958963282937366
Deepfake,428,0.0,0.0,0.0
Other,12,8.333333333333332,0.0,0.0
